date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,17:00,Sigma Olomouc,Jablonec ,3 : 4,-,-,-
24102017,18:00,Teplice,Hradec Kralove ,2 : 3,-,-,-
